watch_id,name,brand,price,material,reference,condition,image_url
45,Pre-Owned No Date Dial Rolex Submariner 124060LN,Rolex,14495.0,Stainless Steel,124060,Used,https://via.placeholder.com/300
46,Pre-Owned Batgirl Rolex GMT-Master II ref 126710BLNR Jubilee Bracelet,Rolex,19995.0,Stainless Steel,126710BLNR,Used,https://via.placeholder.com/300
47,Pre-Owned Rolex GMT-Master II Pepsi 126710BLRO Jubilee Band,Rolex,28595.0,Stainless Steel,126710BLRO,Used,https://via.placeholder.com/300
48,Used Rolex GMT-Master II Pepsi 16710,Rolex,14995.0,Stainless Steel,16710,Used,https://via.placeholder.com/300
49,Used Omega Seamaster Diver 300M Blue Wave Dial,Omega,4995.0,Stainless Steel,210.30.42.20.03.001,Used,https://via.placeholder.com/300
50,Used Tudor Black Bay Ref 79230R Red Bezel,Tudor,3695.0,Stainless Steel,79230R,Used,https://via.placeholder.com/300
51,Used Rolex Daytona Ref 116509 Blue Dial,Rolex,49495.0,White Gold,116509,Used,https://via.placeholder.com/300
52,Oris Aquis Date Taste of Summer Red Dial,Oris,1595.0,Stainless Steel,01 733 7787 4138-07 8 22 04PEB,New,https://via.placeholder.com/300
53,Pre-Owned Rolex Sea-Dweller Ref 16600 Black Dial,Rolex,10595.0,Stainless Steel,16600,Used,https://via.placeholder.com/300
54,Used Rolex Datejust 36 Steel 16220 Silver Dial,Rolex,6595.0,Stainless Steel,16220,Used,https://via.placeholder.com/300
55,Pre-Owned Rolex Submariner Ref 126619 Cookie Monster,Rolex,38995.0,White Gold,126619LB,Used,https://via.placeholder.com/300
56,Grand Seiko Sport Collection SBGM247 Green Dial,Grand Seiko,4495.0,Stainless Steel,SBGM247,Used,https://via.placeholder.com/300
57,Oris Aquis Date Taste of Summer Green Dial,Oris,1595.0,Stainless Steel,01 733 7787 4137-07 8 22 04PEB,New,https://via.placeholder.com/300
58,Used Rolex Yacht-Master II Ref 116681 White Dial,Rolex,23495.0,Steel and Rose Gold,116681,Used,https://via.placeholder.com/300
